County,CountyName,clinton,dole,other,perot,totalvotes,dPct,rPct,otherPct,dDRPct,rDRPct,leanD,leanR
1001,Autauga,5015,9509,85,813,15422,0.325184800934,0.616586694333,0.00551160679549,0.345290553567,0.654709446433,0.52739509938,1.896111665
1003,Baldwin,12776,29487,336,4520,47119,0.271143275536,0.625798510155,0.00713088138543,0.302297517923,0.697702482077,0.433275680808,2.30799937383
1005,Barbour,4787,3627,24,515,8953,0.534681112476,0.405115603708,0.00268066569865,0.568932731162,0.431067268838,1.31982354563,0.757677041989
1007,Bibb,2775,3037,34,455,6301,0.440406284717,0.481986986193,0.00539596889383,0.477460426703,0.522539573297,0.913730655252,1.09441441441
1009,Blount,5061,9056,225,985,15327,0.330201605011,0.590852743524,0.014679976512,0.35850393143,0.64149606857,0.558856007067,1.78936968978
1011,Bullock,3078,1154,41,111,4384,0.702098540146,0.263229927007,0.00935218978102,0.727315689981,0.272684310019,2.66724436742,0.374918778428
1013,Butler,3828,3352,52,538,7770,0.492664092664,0.431402831403,0.00669240669241,0.533147632312,0.466852367688,1.14200477327,0.87565308255
1015,Calhoun,15725,18088,485,2613,36911,0.426024762266,0.490043618434,0.0131397144483,0.465057817999,0.534942182001,0.869360902256,1.15027027027
1017,Chambers,5515,4707,63,812,11097,0.496981166081,0.424168694242,0.00567721005677,0.539522598317,0.460477401683,1.17165923093,0.853490480508
1019,Cherokee,4399,3048,75,899,8421,0.522384514903,0.361952262202,0.00890630566441,0.590707667517,0.409292332483,1.44324146982,0.692884746533
1021,Chilton,5354,7910,85,929,14278,0.374982490545,0.553999159546,0.00595321473596,0.403648974668,0.596351025332,0.676864728192,1.47740007471
1023,Choctaw,4074,2623,21,413,7131,0.571308371897,0.367830598794,0.00294488851493,0.608332088995,0.391667911005,1.55318337781,0.643838978891
1025,Clarke,4831,4785,24,478,10118,0.477465902352,0.472919549318,0.00237201027871,0.502391846922,0.497608153078,1.00961337513,0.990478161871
1027,Clay,2306,2694,30,538,5568,0.414152298851,0.483836206897,0.00538793103448,0.4612,0.5388,0.855976243504,1.1682567216
1029,Cleburne,1737,2063,56,385,4241,0.409573213865,0.486441876916,0.0132044329168,0.457105263158,0.542894736842,0.841977702375,1.18767990789
1031,Coffee,5168,7805,144,1042,14159,0.364997528074,0.551239494315,0.0101702097606,0.398365836738,0.601634163262,0.662139654068,1.51025541796
1033,Colbert,10226,8305,91,1696,20318,0.503297568658,0.408750861305,0.00447878728221,0.551832065188,0.448167934812,1.2313064419,0.812145511441
1035,Conecuh,2903,2093,20,445,5461,0.531587621315,0.383263138619,0.00366233290606,0.581064851882,0.418935148118,1.38700430005,0.720978298312
1037,Coosa,2121,1721,27,262,4131,0.513435003631,0.416606148632,0.00653594771242,0.552056220718,0.447943779282,1.23242300988,0.8114097124
1039,Covington,4543,6035,237,1098,11913,0.38134810711,0.506589440107,0.0198942331906,0.429476271507,0.570523728493,0.752775476388,1.32841734537
1041,Crenshaw,2172,1939,19,317,4447,0.488419158984,0.436024286036,0.00427254328761,0.528338603746,0.471661396254,1.12016503352,0.892725598527
1043,Cullman,9544,14308,261,2440,26553,0.359432079238,0.538846834633,0.00982939780816,0.400134160657,0.599865839343,0.667039418507,1.49916177703
1045,Dale,4732,8288,94,1216,14330,0.330216329379,0.578367062107,0.00655966503838,0.363440860215,0.636559139785,0.570945945946,1.75147928994
1047,Dallas,10507,6612,58,477,17654,0.595162569389,0.374532683811,0.0032853744194,0.613762486127,0.386237513873,1.58908045977,0.629294755877
1049,DeKalb,6544,9823,167,1609,18143,0.360690073307,0.541420933693,0.00920465193187,0.399828924054,0.600171075946,0.666191591164,1.50106968215
1051,Elmore,6530,12937,111,1368,20946,0.311754034183,0.617635825456,0.00529934116299,0.335439461653,0.664560538347,0.50475380691,1.98116385911
1053,Escambia,4651,5214,372,867,11104,0.418858069164,0.469560518732,0.0335014409222,0.471464774455,0.528535225545,0.892021480629,1.12104923672
1055,Etowah,17976,16835,221,2529,37561,0.478581507415,0.448204254413,0.00588376241314,0.516388497889,0.483611502111,1.06777546778,0.936526479751
1057,Fayette,3381,3191,47,590,7209,0.468997086975,0.442641143016,0.00651962824247,0.51445526476,0.48554473524,1.05954246318,0.9438036084
1059,Franklin,5028,4449,39,966,10482,0.479679450487,0.424441900401,0.00372066399542,0.530547641659,0.469452358341,1.13014160486,0.884844868735
1061,Geneva,3174,4725,227,857,8983,0.353334075476,0.52599354336,0.0252699543582,0.401823015572,0.598176984428,0.671746031746,1.48865784499
1063,Greene,3526,796,47,55,4424,0.797016274864,0.179927667269,0.0106238698011,0.815826006478,0.184173993522,4.42964824121,0.225751559841
1065,Hale,3372,1893,18,190,5473,0.616115475973,0.345879773433,0.00328887264754,0.640455840456,0.359544159544,1.78129952456,0.561387900356
1067,Henry,3019,3082,21,515,6637,0.454874190146,0.464366430616,0.0031640801567,0.494836911982,0.505163088018,0.979558728099,1.02086783703
1069,Houston,8791,17476,143,1653,28063,0.313259451947,0.622741688344,0.00509567758258,0.334678493928,0.665321506072,0.503032730602,1.98794221363
1071,Jackson,8204,5650,131,1573,15558,0.527317135879,0.363157218151,0.00842010541201,0.592175544969,0.407824455031,1.45203539823,0.688688444661
1073,Jefferson,120208,130980,1721,7997,260906,0.460732984293,0.502019884556,0.00659624539106,0.478557892893,0.521442107107,0.917758436403,1.08961134034
1075,Lamar,2843,2955,15,597,6410,0.44352574103,0.460998439938,0.00234009360374,0.490341497068,0.509658502932,0.962098138748,1.03939500528
1077,Lauderdale,13619,14058,185,2574,30436,0.44746353003,0.461887238796,0.00607832829544,0.492069227156,0.507930772844,0.968772229336,1.03223437844
1079,Lawrence,5254,3893,32,964,10143,0.517992704328,0.383811495613,0.00315488514246,0.574395976823,0.425604023177,1.34960184947,0.740959269128
1081,Lee,12919,17985,361,1949,33214,0.388962485699,0.541488528934,0.0108689107003,0.418036500129,0.581963499871,0.718320822908,1.39213561421
1083,Limestone,8045,10862,116,1659,20682,0.388985591335,0.525190987332,0.00560874190117,0.425503781668,0.574496218332,0.740655496225,1.35015537601
1085,Lowndes,3970,1369,30,72,5441,0.729645285793,0.251608160265,0.00551369233597,0.743584941,0.256415059,2.89992695398,0.34483627204
1087,Macon,7018,987,48,150,8203,0.855540655858,0.120321833476,0.00585151773741,0.876702061212,0.123297938788,7.11043566363,0.140638358507
