ORI,agency
CA0300700,FOUNTAIN VALLEY
CA0300800,FULLERTON
CA0300900,GARDEN GROVE
CA0301000,HUNTINGTON BEACH
CA0301100,LAGUNA BEACH
CA0301200,LA HABRA
CA0301300,LOS ALAMITOS
CA0301400,NEWPORT BEACH
CA0301500,ORANGE
CA0301600,PLACENTIA
CA0301700,SAN CLEMENTE
CA0301800,SAN JUAN CAPISTRANO
CA0301900,SANTA ANA
CA0302100,STANTON
CA0302200,TUSTIN
CA0302300,VILLA PARK
CA0302400,WESTMINSTER
CA0302500,YORBA LINDA
CA0302600,IRVINE
CA0302700,CA ST UN: FULLERTON
CA0303500,MISSION VIEJO
CA0303600,DANA POINT
CA0303900,LAGUNA NIGUEL
CA0304200,LAGUNA HILLS
CA0304300,LAKE FOREST
CA0304800,RANCHO SANTA MARGARITA
CA0304900,ALISO VIEJO
CA0309700,UN OF CA: IRVINE
CA0310000,PLACER
CA0310500,ROSEVILLE
CA0330000,RIVERSIDE
CA0330100,BANNING
CA0330200,BEAUMONT
CA0330300,BLYTHE
CA0330500,COACHELLA
CA0330800,HEMET
CA0330900,INDIO
CA0331000,NORCO
CA0331100,PALM SPRINGS
CA0331200,PERRIS
CA0331300,RIVERSIDE
CA0331400,SAN JACINTO
CA0331500,CORONA
CA0331800,PALM DESERT
CA0332500,CATHEDRAL CITY
CA0333000,LAKE ELSINORE
CA0333100,LA QUINTA
CA0333200,MORENO VALLEY
CA0333800,TEMECULA
CA0334000,CALIMESA
CA0334200,MURRIETA
CA0334400,RIVERSIDE COMM COLLEGE
CA0337800,MENIFEE
CA0337900,EASTVALE
CA0339700,UN OF CA: RIVERSIDE
CA033A000,JURUPA VALLEY
CA0340000,SACRAMENTO
CA0340100,FOLSOM
CA0340200,GALT
CA0340400,SACRAMENTO
CA0340H00,ELK GROVE
CA0345500,RANCHO CORDOVA
CA0349600,CITRUS HEIGHTS
CA0349700,"UN CA MED CTR, SACRAMENT"
CA0350100,HOLLISTER
CA0360000,SAN BERNARDINO
CA0360100,BARSTOW
CA0360200,CHINO
CA0360300,COLTON
CA0360400,FONTANA
CA0360500,MONTCLAIR
CA0360700,ONTARIO
CA0360800,REDLANDS
CA0360900,RIALTO
CA0361000,SAN BERNARDINO
CA0361100,UPLAND
CA0361200,VICTORVILLE
CA0361300,ADELANTO
CA0361400,CA ST UN: SAN BERNARDINO
CA0361600,RANCHO CUCAMONGA
CA0362000,BIG BEAR LAKE
CA0363000,HIGHLAND
CA0363100,TWENTYNINE PALMS
CA0363200,HESPERIA
CA0363300,APPLE VALLEY
CA0363500,YUCAIPA
CA0364000,CHINO HILLS
CA0364100,YUCCA VALLEY
CA0370000,SAN DIEGO
CA0370100,CARLSBAD
