"city","state","abbr"
"Provo","Utah","UT"
"Chandler","Arizona","AZ"
"Gilbert","Arizona","AZ"
"Glendale","Arizona","AZ"
"Mesa","Arizona","AZ"
"Phoenix","Arizona","AZ"
"Scottsdale","Arizona","AZ"
"Tempe","Arizona","AZ"
"Tucson","Arizona","AZ"
"Anaheim","California","CA"
"Antioch","California","CA"
"Bakersfield","California","CA"
"Berkeley","California","CA"
"Burbank","California","CA"
"Carlsbad","California","CA"
"Chula Vista","California","CA"
"Concord","California","CA"
"Corona","California","CA"
"Costa Mesa","California","CA"
"Downey","California","CA"
"El Cajon","California","CA"
"El Monte","California","CA"
"Escondido","California","CA"
"Fairfield","California","CA"
"Fremont","California","CA"
"Fresno","California","CA"
"Fullerton","California","CA"
"Garden Grove","California","CA"
"Glendale","California","CA"
"Huntington Beach","California","CA"
"Irvine","California","CA"
"Lancaster","California","CA"
"Long Beach","California","CA"
"Los Angeles","California","CA"
"Modesto","California","CA"
"Moreno Valley","California","CA"
"Norwalk","California","CA"
"Oakland","California","CA"
"Oceanside","California","CA"
"Oxnard","California","CA"
"Palmdale","California","CA"
"Pasadena","California","CA"
"Pomona","California","CA"
"Rialto","California","CA"
"Richmond","California","CA"
"Riverside","California","CA"
"Roseville","California","CA"
"Sacramento","California","CA"
"Salinas","California","CA"
"San Bernardino","California","CA"
"San Diego","California","CA"
"San Francisco","California","CA"
"San Jose","California","CA"
"San Mateo","California","CA"
"Santa Ana","California","CA"
"Santa Clara","California","CA"
"Santa Clarita","California","CA"
"Santa Rosa","California","CA"
"Simi Valley","California","CA"
"Stockton","California","CA"
"Sunnyvale","California","CA"
"Temecula","California","CA"
"Thousand Oaks","California","CA"
"Torrance","California","CA"
"Vallejo","California","CA"
"Ventura","California","CA"
"Victorville","California","CA"
"Visalia","California","CA"
"Akron","Ohio","OH"
"West Covina","California","CA"
"Arvada","Colorado","CO"
"Aurora","Colorado","CO"
"Boulder","Colorado","CO"
"Colorado Springs","Colorado","CO"
"Denver","Colorado","CO"
"Lakewood","Colorado","CO"
"Westminster","Colorado","CO"
"Bridgeport","Connecticut","CT"
"Hartford","Connecticut","CT"
"New Haven","Connecticut","CT"
"Washington","District Of Columbia","DC"
"Cape Coral","Florida","FL"
"Clearwater","Florida","FL"
"Fort Lauderdale","Florida","FL"
"Gainesville","Florida","FL"
"Hialeah","Florida","FL"
"Hollywood","Florida","FL"
"Jacksonville","Florida","FL"
"Miramar","Florida","FL"
"Orlando","Florida","FL"
"Pembroke Pines","Florida","FL"
"Port St Lucie","Florida","FL"
"St Petersburg","Florida","FL"
"Tampa","Florida","FL"
"Atlanta","Georgia","GA"
"Boise","Idaho","ID"
"Aurora","Illinois","IL"
"Chicago","Illinois","IL"
"Elgin","Illinois","IL"
"Naperville","Illinois","IL"
"Peoria","Illinois","IL"
"Springfield","Illinois","IL"
"Evansville","Indiana","IN"
"Fort Wayne","Indiana","IN"
"Davenport","Iowa","IA"
"Des Moines","Iowa","IA"
"Wichita","Kansas","KS"
" ","Kentucky","KY"
"Lexington","Kentucky","KY"
"Louisville","Kentucky","KY"
"New Orleans","Louisiana","LA"
"Baltimore","Maryland","MD"
"Boston","Massachusetts","MA"
"Lowell","Massachusetts","MA"
"Springfield","Massachusetts","MA"
"Worcester","Massachusetts","MA"
"Ann Arbor","Michigan","MI"
"Flint","Michigan","MI"
"Lansing","Michigan","MI"
"Warren","Michigan","MI"
" ","Minnesota","MN"
"Minneapolis","Minnesota","MN"
"Rochester","Minnesota","MN"
"St Paul","Minnesota","MN"
"Columbia","Missouri","MO"
"Kansas City","Missouri","MO"
"St Louis","Missouri","MO"
"Lincoln","Nebraska","NE"
"Omaha","Nebraska","NE"
"Reno","Nevada","NV"
"Edison Twp","New Jersey","NJ"
"Elizabeth","New Jersey","NJ"
"Jersey City","New Jersey","NJ"
" ","New Jersey","NJ"
"Newark","New Jersey","NJ"
"Paterson","New Jersey","NJ"
"Shrewsbury","New Jersey","NJ"
"Woodbridge Twp","New Jersey","NJ"
"Albuquerque","New Mexico","NM"
"New York","New York","NY"
"Rochester","New York","NY"
"Yonkers","New York","NY"
" ","North Carolina","NC"
"High Point","North Carolina","NC"
"Raleigh","North Carolina","NC"
"Fargo","North Dakota","ND"
"Cincinnati","Ohio","OH"
"Cleveland","Ohio","OH"
"Columbus","Ohio","OH"
"Dayton","Ohio","OH"
"Toledo","Ohio","OH"
"Broken Arrow","Oklahoma","OK"
"Tulsa","Oklahoma","OK"
"Portland","Oregon","OR"
"Salem","Oregon","OR"
"Erie","Pennsylvania","PA"
" ","Pennsylvania","PA"
"Philadelphia","Pennsylvania","PA"
"Pittsburgh","Pennsylvania","PA"
"North Charleston","South Carolina","SC"
"Clarksville","Tennessee","TN"
"Knoxville","Tennessee","TN"
"Memphis","Tennessee","TN"
"Nashville","Tennessee","TN"
"Amarillo","Texas","TX"
"Arlington","Texas","TX"
"Austin","Texas","TX"
"Carrollton","Texas","TX"
"College Station","Texas","TX"
"Corpus Christi","Texas","TX"
"Dallas","Texas","TX"
"Denton","Texas","TX"
"El Paso","Texas","TX"
"Fort Worth","Texas","TX"
"Frisco","Texas","TX"
"Garland","Texas","TX"
"Houston","Texas","TX"
"Killeen","Texas","TX"
"Lewisville","Texas","TX"
"Lubbock","Texas","TX"
"McKinney","Texas","TX"
" ","Texas","TX"
"Midland","Texas","TX"
"Plano","Texas","TX"
"Richardson","Texas","TX"
"Round Rock","Texas","TX"
"San Angelo","Texas","TX"
"San Antonio","Texas","TX"
"Tyler","Texas","TX"
"Salt Lake City","Utah","UT"
"West Jordan","Utah","UT"
"West Valley","Utah","UT"
"Alexandria","Virginia","VA"
"Chesapeake","Virginia","VA"
"Hampton","Virginia","VA"
"Newport News","Virginia","VA"
"Norfolk","Virginia","VA"
"Portsmouth","Virginia","VA"
"Richmond","Virginia","VA"
"Everett","Washington","WA"
"Renton","Washington","WA"
"Seattle","Washington","WA"
"Spokane","Washington","WA"
"Tacoma","Washington","WA"
"Vancouver","Washington","WA"
" ","West Virginia","WV"
"Green Bay","Wisconsin","WI"
"Madison","Wisconsin","WI"
"Milwaukee","Wisconsin","WI"
"Anchorage","Alaska","AK"
"Clovis","California","CA"
"Hayward","California","CA"
"Ontario","California","CA"
"Orange","California","CA"
"Santa Maria","California","CA"
"Centennial","Colorado","CO"
"Fort Collins","Colorado","CO"
"Stamford","Connecticut","CT"
"Waterbury","Connecticut","CT"
"Pompano Beach","Florida","FL"
"West Palm Beach","Florida","FL"
"Indianapolis","Indiana","IN"
"Cambridge","Massachusetts","MA"
"Detroit","Michigan","MI"
"Grand Rapids","Michigan","MI"
"Springfield","Missouri","MO"
"North Las Vegas","Nevada","NV"
"Oklahoma City","Oklahoma","OK"
"Durham","North Carolina","NC"
"Fayetteville","North Carolina","NC"
"Greensboro","North Carolina","NC"
"Shrewsbury","Ohio","OH"
"Norman","Oklahoma","OK"
"Providence","Rhode Island","RI"
"Sioux Falls","South Dakota","SD"
"Chattanooga","Tennessee","TN"
"Abilene","Texas","TX"
"Beaumont","Texas","TX"
"Pearland","Texas","TX"
"Virginia Beach","Virginia","VA"
"Bellevue","Washington","WA"
"Kent","Washington","WA"
"Peoria","Arizona","AZ"
"Daly City","California","CA"
"Fontana","California","CA"
"Thornton","Colorado","CO"
"Coral Springs","Florida","FL"
"Tallahassee","Florida","FL"
"Rockford","Illinois","IL"
"Cedar Rapids","Iowa","IA"
"Cary","North Carolina","NC"
"Wichita Falls","Texas","TX"
"Little Rock","Arkansas","AR"
"Elk Grove","California","CA"
"Inglewood","California","CA"
"Palm Bay","Florida","FL"
"Sterling Heights","Michigan","MI"
"Independence","Missouri","MO"
"Billings","Montana","MT"
"Waco","Texas","TX"
"Surprise","Arizona","AZ"
"Murrieta","California","CA"
"Miami Gardens","Florida","FL"
"Joliet","Illinois","IL"
"South Bend","Indiana","IN"
"Topeka","Kansas","KS"
"Manchester","New Hampshire","NH"
"Amherst, Town of","New York","NY"
"Buffalo","New York","NY"
"Syracuse","New York","NY"
"Eugene","Oregon","OR"
"Columbia","South Carolina","SC"
"Mobile","Alabama","AL"
"Pueblo","Colorado","CO"
"Murfreesboro","Tennessee","TN"
"Pasadena","Texas","TX"
"Rancho Cucamonga","California","CA"
"Henderson","Nevada","NV"
"Charleston","South Carolina","SC"
"Montgomery","Alabama","AL"
" ","California","CA"
"Washington","District of Columbia","DC"
"Shrewsbury","Georgia","GA"
"Columbus","Georgia","GA"
"Overland Park","Kansas","KS"
"Wilmington","North Carolina","NC"
"Winston-Salem","North Carolina","NC"
" ","North Dakota","ND"
"McAllen","Texas","TX"
" ","Washington","WA"
"Kansas City","Kansas","KS"
"Allentown","Pennsylvania","PA"
"Odessa","Texas","TX"
"Birmingham","Alabama","AL"
"Shreveport","Louisiana","LA"
"Grand Prairie","Texas","TX"
"Homestead","Florida","FL"
"Coral Gables","Florida","FL"
"Miami Beach","Florida","FL"
"North Miami","Florida","FL"
"North Miami Beach","Florida","FL"
"Marco Island","Florida","FL"
"Collier","Florida","FL"
"Wilton Manors","Florida","FL"
"Broward","Florida","FL"
"Margate","Florida","FL"
"Coconut Creek","Florida","FL"
"Boca Raton","Florida","FL"
"Boynton Beach","Florida","FL"
"Lake Worth","Florida","FL"
"Lake Clarke Shores","Florida","FL"
"Wellington","Florida","FL"
"Palm Beach","Florida","FL"
"Royal Palm Beach","Florida","FL"
"North Palm Beach","Florida","FL"
"Palm Beach Gardens","Florida","FL"
"North Port","Florida","FL"
"Stuart","Florida","FL"
"Port St. Lucie","Florida","FL"
"Pinellas","Florida","FL"
"Hillsborough","Florida","FL"
"Melbourne","Florida","FL"
"Mount Dora","Florida","FL"
"Deland","Florida","FL"
"Ocala","Florida","FL"
"Martin","Florida","FL"
"Flagler","Florida","FL"
"Hallettsville","Texas","TX"
"University Of Florida","Florida","FL"
"Baytown","Texas","TX"
"Tx St Univ, San Marcos","Texas","TX"
"Ascension","Louisiana","LA"
"Calcasieu","Louisiana","LA"
"Pensacola","Florida","FL"
"Walton","Florida","FL"
"Nogales","Arizona","AZ"
"University Of Arizona","Arizona","AZ"
"Oro Valley","Arizona","AZ"
"Ouachita","Louisiana","LA"
"Coronado","California","CA"
"Yuma","Arizona","AZ"
"Texas Christian Universi","Texas","TX"
"Mammoth","Arizona","AZ"
"Port Of San Diego Harbor","California","CA"
"San Diego St University","California","CA"
"Pinal","Arizona","AZ"
"Isle Of Palms","South Carolina","SC"
"North Richland Hills","Texas","TX"
"Santee","California","CA"
"Southern Methodist Univ","Texas","TX"
"University Park","Texas","TX"
"Un Of Ca: San Diego","California","CA"
"Pima","Arizona","AZ"
"Chilton","Alabama","AL"
"Poway","California","CA"
"Sachse","Texas","TX"
"Wylie","Texas","TX"
"Summerville","South Carolina","SC"
"Encinitas","California","CA"
"Maricopa","Arizona","AZ"
"Ca St Un: San Marcos","California","CA"
"Collin","Texas","TX"
"Vista","California","CA"
"Commerce","Texas","TX"
"Buckeye","Arizona","AZ"
"Georgetown","South Carolina","SC"
"Hoover","Alabama","AL"
"Apache Junction","Arizona","AZ"
"Avondale","Arizona","AZ"
"Dana Point","California","CA"
"Orangeburg","South Carolina","SC"
"San Juan Capistrano","California","CA"
"Laguna Niguel","California","CA"
"Paradise Valley","Arizona","AZ"
"Aliso Viejo","California","CA"
"Tx Tech Un: Lubbock","Texas","TX"
"Mission Viejo","California","CA"
"El Mirage","Arizona","AZ"
"Newport Beach","California","CA"
"Rancho Santa Margarita","California","CA"
"La Quinta","California","CA"
"Coachella","California","CA"
"Myrtle Beach","South Carolina","SC"
"Palm Desert","California","CA"
"Rancho Palos Verdes","California","CA"
"Westminster","California","CA"
"Georgia Institute Of Tec","Georgia","GA"
"Cathedral City","California","CA"
"Lomita","California","CA"
"Stanton","California","CA"
"Los Alamitos","California","CA"
"Palm Springs","California","CA"
"Carson","California","CA"
"Redondo Beach","California","CA"
"Horry County Police Dept","South Carolina","SC"
"Ca St Un: Fullerton","California","CA"
"Manhattan Beach","California","CA"
"Yorba Linda","California","CA"
"Hawthorne","California","CA"
"La Mirada","California","CA"
"Lynwood","California","CA"
"University Of Georgia","Georgia","GA"
"Athens-Clarke County","Georgia","GA"
"Cobb County Police Dept","Georgia","GA"
"Un Of Ca: Riverside","California","CA"
"Chino Hills","California","CA"
"Chino","California","CA"
"Montebello","California","CA"
"Forest Acres","South Carolina","SC"
"Santa Monica","California","CA"
"Malibu","California","CA"
"Richland","South Carolina","SC"
"Ca St Polytec U: Pomona","California","CA"
"La Trnsprtn Services Bur","California","CA"
"Un Of Ca: Los Angeles","California","CA"
"Beverly Hills","California","CA"
"West Hollywood","California","CA"
"Claremont","California","CA"
"Burkburnett","Texas","TX"
"La Verne","California","CA"
"Calabasas","California","CA"
"Agoura Hills","California","CA"
"Florence","South Carolina","SC"
"Camarillo","California","CA"
"Ca St Un: Northridge","California","CA"
"Moorpark","California","CA"
"Guntersville","Alabama","AL"
"Dillon","South Carolina","SC"
"Santa Barbara","California","CA"
"Goleta","California","CA"
"Laurens","South Carolina","SC"
"Camp Verde","Arizona","AZ"
"Bennettsville","South Carolina","SC"
"Randall","Texas","TX"
"Spartanburg","South Carolina","SC"
"Hope Mills","North Carolina","NC"
"Univ Of Tn: Chattanooga","Tennessee","TN"
"Red Bank","Tennessee","TN"
"Taft","California","CA"
"Hamilton","Tennessee","TN"
"Northern Arizona Univ","Arizona","AZ"
"Flagstaff","Arizona","AZ"
"Mohave","Arizona","AZ"
"Charlotte-Mecklenburg","North Carolina","NC"
"San Luis Obispo","California","CA"
"Ca St Polyt U:San Luis O","California","CA"
"Western Carolina Univ","North Carolina","NC"
"Kern","California","CA"
"Lewis","Tennessee","TN"
"Choctaw","Oklahoma","OK"
"Putnam City Campus","Oklahoma","OK"
"Buncombe","North Carolina","NC"
"Asheville","North Carolina","NC"
"East Carolina University","North Carolina","NC"
"Greenville","North Carolina","NC"
"Edmond","Oklahoma","OK"
"Salisbury","North Carolina","NC"
"Hickory","North Carolina","NC"
"Lauderdale","Tennessee","TN"
"Roane","Tennessee","TN"
"Middle Tennessee State U","Tennessee","TN"
"Chapel Hill","North Carolina","NC"
"Williamson","Tennessee","TN"
"Franklin","Tennessee","TN"
"Knox","Tennessee","TN"
"Oak Ridge","Tennessee","TN"
"Kill Devil Hills","North Carolina","NC"
"Univ Of Nevada:Las Vegas","Nevada","NV"
"Forsyth","North Carolina","NC"
"Las Vegas Metro Pd","Nevada","NV"
"Rutherford","Tennessee","TN"
"Nashville Metropolitan","Tennessee","TN"
"Vanderbilt University","Tennessee","TN"
"Cookeville","Tennessee","TN"
"Tulare","California","CA"
"East Tennessee State Uni","Tennessee","TN"
"Oxford","North Carolina","NC"
"Stewart","Tennessee","TN"
"Goodlettsville","Tennessee","TN"
"Rogers","Arkansas","AR"
"Gallatin","Tennessee","TN"
"Hominy","Oklahoma","OK"
"Selma","California","CA"
"Danville","Virginia","VA"
"Monterey","California","CA"
"San Joaquin","California","CA"
"Murray","Kentucky","KY"
"Oak Grove","Kentucky","KY"
"Guymon","Oklahoma","OK"
"Chilhowie","Virginia","VA"
"Old Dominion University","Virginia","VA"
"Isle Of Wight","Virginia","VA"
"Madera","California","CA"
"Bowling Green","Kentucky","KY"
"Santa Cruz","California","CA"
"Un Of Ca: Santa Cruz","California","CA"
"Glasgow","Kentucky","KY"
"Ozark","Missouri","MO"
"Scotts Valley","California","CA"
"Somerset","Kentucky","KY"
"Radford University","Virginia","VA"
"Prince George","Virginia","VA"
"York","Virginia","VA"
"Va Polytech Inst & St Un","Virginia","VA"
"Saratoga","California","CA"
"College Of William &Mary","Virginia","VA"
"Campbell","California","CA"
"Hopkins","Kentucky","KY"
"Cupertino","California","CA"
"Santa Clara Transit Dist","California","CA"
"Jasper","Missouri","MO"
"Chesterfield County Pd","Virginia","VA"
"Rich Creek","Virginia","VA"
"Palo Alto","California","CA"
"Atherton","California","CA"
"Turlock","California","CA"
"Belmont","California","CA"
"Foster City","California","CA"
"Millbrae","California","CA"
"Hughson","California","CA"
"Pacifica","California","CA"
"Henrico County Police D","Virginia","VA"
"San Bruno","California","CA"
"Sf Bart: San Mateo Cnty","California","CA"
"Livermore","California","CA"
"Sf Bart: San Francisco C","California","CA"
"Wichita State University","Kansas","KS"
"San Leandro","California","CA"
"Un Of Ca: San Francisco","California","CA"
"Eastern Kentucky Univ","Kentucky","KY"
"Tracy","California","CA"
"Richmond","Kentucky","KY"
"Alameda","California","CA"
"Owensboro","Kentucky","KY"
"Manteca","California","CA"
"Piedmont","California","CA"
"Valley Center","Kansas","KS"
"Contra Costa","California","CA"
"Un Of Ca: Berkeley","California","CA"
"Walnut Creek","California","CA"
"El Cerrito","California","CA"
"Woodson","Kansas","KS"
"Sf Bart: Contra Costa Co","California","CA"
"Brentwood","California","CA"
"Tuolumne","California","CA"
"San Rafael","California","CA"
"Pinole","California","CA"
"Albemarle County Pol Dep","Virginia","VA"
"Hercules","California","CA"
"Pittsburg","California","CA"
"University Of Virginia","Virginia","VA"
"Marin","California","CA"
"Novato","California","CA"
"Shively","Kentucky","KY"
"Spotsylvania","Virginia","VA"
"University Of Louisville","Kentucky","KY"
"St. Matthews","Kentucky","KY"
"Louisville Metro","Kentucky","KY"
"Galt","California","CA"
"Kanawha","West Virginia","WV"
"Indian Hills","Kentucky","KY"
"Sonoma","California","CA"
"Napa","California","CA"
"Ellinwood","Kansas","KS"
"Vacaville","California","CA"
"South Charleston","West Virginia","WV"
"Stafford","Virginia","VA"
"Harrisonburg","Virginia","VA"
"Un Of Ca: Davis","California","CA"
"Davis","California","CA"
"Rockingham","Virginia","VA"
"Healdsburg","California","CA"
"St. Louis","Missouri","MO"
"Williamstown","Kentucky","KY"
"St. Louis County Pol Dep","Missouri","MO"
"Grant","Kentucky","KY"
"Creve Coeur","Missouri","MO"
"University City","Missouri","MO"
"Sp: Dry Ridge","Kentucky","KY"
"Citrus Heights","California","CA"
"Rehoboth Beach","Delaware","DE"
"Fairfax County Pd","Virginia","VA"
"Chaffee","Colorado","CO"
"Northern Va Comm College","Virginia","VA"
"Johnson County Park","Kansas","KS"
"George Mason University","Virginia","VA"
"Arapahoe","Colorado","CO"
"Arlington County Pd","Virginia","VA"
"Ellis","Kansas","KS"
"Univ Of Mo: Columbia","Missouri","MO"
"Anne Arundel","Maryland","MD"
"Leawood","Kansas","KS"
